Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
39250,101620,89423,13259,35058,36949,12648,13985,79922657,80470,49385,8002,65795593,44387,79353417,19009,70900877,40557,80324066,5574,75639174,18820267
39500,106908,88891,13258,34476,35279,11954,14146,80626629,79308,47201,7848,68629130,40619,78252815,17628,71864111,35668,82927894,5621,74679807,19179687
39750,107662,93250,13440,34537,34899,12213,14951,89433949,77669,45929,7889,66909759,40178,78860796,20727,70616933,35672,88475743,5452,77634545,17555137
40000,101747,98354,13526,34248,34224,10755,14620,89629267,79807,50381,8511,67042975,44276,79985600,18764,69186997,35200,85411506,5628,70242925,17066636
40250,103129,168855,13275,33970,36391,10743,13808,83960279,79841,49126,7840,68877138,42111,81524511,16707,76303573,33334,85976603,5734,74890965,18916227
40500,153197,93614,13387,33821,34267,12083,14380,87256584,75940,48419,7871,69033021,41841,81542674,17688,73010566,32788,88337056,5649,74496928,19516807
40750,125179,91563,13271,34962,35195,11211,15043,86317756,80663,49768,7872,68463284,42191,82133880,20408,70261879,33841,91244240,5647,73444009,19295183
41000,107704,94628,13349,33478,34372,11526,16038,83750165,80004,50329,7855,71396318,43093,87282159,20419,72776759,34301,86108129,5601,75983753,19257948
41250,103863,95067,13298,34054,34828,11217,14276,89464055,79831,49234,7886,69240631,39428,83057090,17896,71389037,32811,91315441,5680,75686219,18408881
41500,106200,106032,13417,33375,37488,12171,15179,87904322,82352,46772,7807,70580395,41194,81854431,19692,71211411,34803,78950589,5804,86239812,18875149
41750,99608,103209,13370,33741,35568,11078,13800,92288753,85397,48470,7834,73550265,41089,83053318,18107,71428613,34170,83129872,5630,83317944,18399464
42000,102983,96748,13425,33769,33351,11656,14183,93526441,77148,49337,8165,72824023,41938,80012462,17862,75101920,34039,88356051,5594,79105693,21825732
42250,105257,154713,13446,31672,34597,12713,15117,87795230,2113677,52434,7882,70937647,42716,85217409,17494,73059040,152829,83654669,5618,77845732,20203640
42500,122189,98507,13227,33523,37257,11579,15024,86716008,54387,50823,7865,77144081,43548,87912617,19179,73444943,36181,81186125,5449,83224332,18821023
42750,105538,98145,13388,32660,33384,10845,15945,87298792,51958,48938,7880,72553722,43837,87536582,19449,73976046,37462,83260845,5595,82916145,18545993
43000,103031,98564,13301,31513,37666,12065,14915,87227522,52320,50833,7839,71169514,44110,84172213,18677,74048381,65134,83734713,5499,84622611,21107352
43250,102059,103725,13223,32573,35278,11716,14964,87750770,49240,52520,7920,72336734,42500,83734532,18712,76236503,72876,89319378,5466,77208364,19520118
43500,103618,100582,13153,31994,34330,11030,16705,88541979,52483,49908,7835,75080127,41991,87961371,17590,75879536,35082,83319664,5835,85424839,21823775
43750,103206,99942,13365,33085,36244,11419,15526,89299964,51671,52932,7837,75566941,43052,88614596,19386,81278789,259766,83304485,5416,86397461,19100669
